starid,source_id,r_med_geo,r_lo_geo,r_hi_geo,r_med_photogeo,r_lo_photogeo,r_hi_photogeo,flag
6386468454774591744,6386468454774591744,91.5917,91.468925,91.758484,91.6067,91.47401,91.73709,10033
5224124307320401024,5224124307320401024,182.89265,182.36583,183.53484,183.06065,182.40974,183.73631,10033
4972969119657226368,4972969119657226368,90.021484,89.89618,90.166916,90.01886,89.84418,90.19075,10033
4675576135153914368,4675576135153914368,44.008133,43.92941,44.07366,44.034206,43.947254,44.08833,10033
4921421918602162688,4921421918602162688,72.08317,71.98729,72.17311,72.086586,71.99059,72.18028,10033
2125795166969907968,2125795166969907968,424.85922,423.25708,426.69577,424.52365,422.98718,426.16403,10033
2053106620753316352,2053106620753316352,787.1612,779.9602,793.15283,786.6573,780.37775,792.23627,10033
2076525844775760384,2076525844775760384,106.75177,104.39924,109.67098,105.90066,103.52346,108.90928,10033
6357337753190592000,6357337753190592000,89.47532,89.320915,89.63508,89.48316,89.35105,89.62808,10033
2329865040473724160,2329865040473724160,104.69829,104.358955,104.98792,104.77126,104.521484,105.00779,10033
4759263813434301824,4759263813434301824,99.98655,99.83876,100.14678,100.03772,99.88953,100.1883,10033
2106705269988803072,2106705269988803072,450.97092,449.17377,453.00705,450.6126,448.4841,452.834,10033
2135179533070399232,2135179533070399232,336.59253,335.43982,337.6714,336.7794,335.69684,337.82675,10033
5062172841616745856,5062172841616745856,25.436594,25.415619,25.455496,25.44399,25.422623,25.461798,10033
2086625752425381632,2086625752425381632,515.29193,512.69867,517.40015,515.66614,513.40625,518.6242,10033
2051837651199491968,2051837651199491968,1169.6388,820.02185,1814.5046,668.836,586.50775,813.5863,10033
