starid,source_id,original_ext_source_id,angular_distance,xm_flag,clean_tmass_psc_xsc_oid,number_of_neighbours,number_of_mates,ph_qual,tmass_oid,DESIGNATION,ra,dec,err_maj,err_min,err_ang,j_m,j_msigcom,h_m,h_msigcom,ks_m,ks_msigcom,ext_key,j_date
2051837651199491968,2051837651199491968,19290569+3740176,0.061158713,8,400012724,1,0,AAA,399977124,19290569+3740176,292.273724,37.671558,0.06,0.06,90,11.151,0.022,10.808,0.023,10.72,0.019,,2450965.8561
2053106620753316352,2053106620753316352,19295923+3911354,0.049039874,8,403735212,1,0,AAA,403699201,19295923+3911354,292.496809,39.193169,0.06,0.06,90,10.794,0.022,10.286,0.022,10.207,0.018,,2450965.8617
2076525844775760384,2076525844775760384,19370885+4012497,0.11296735,8,406175083,1,0,AAA,406138662,19370885+4012497,294.286888,40.213806,0.06,0.06,90,6.803,0.02,6.562,0.023,6.491,0.016,,2450965.9261
2086625752425381632,2086625752425381632,19480677+4812309,0.058457643,8,425136808,1,0,AAA,425096620,19480677+4812309,297.028248,48.208611,0.07,0.06,0,11.392,0.022,11.114,0.018,11.06,0.016,,2450990.9256
2106705269988803072,2106705269988803072,18575579+4423529,0.074812256,8,415947973,1,0,AAA,415909583,18575579+4423529,284.482459,44.398037,0.06,0.06,0,11.21,0.021,10.867,0.019,10.801,0.017,,2450984.8075
2125795166969907968,2125795166969907968,19255933+4243425,0.11507245,8,412074580,1,0,AAA,412036724,19255933+4243425,291.497241,42.728477,0.06,0.06,90,9.692,0.019,9.443,0.017,9.387,0.014,,2450972.9672
2135179533070399232,2135179533070399232,19405434+5033323,0.049244072,8,430554300,1,0,AAA,430513507,19405434+5033323,295.226432,50.558983,0.06,0.06,90,10.814,0.025,10.577,0.023,10.535,0.021,,2450990.8711
2329865040473724160,2329865040473724160,23154471-2950511,0.09101036,8,180320427,1,0,CCE,180307953,23154471-2950511,348.936326,-29.847548,0.3,0.13,90,4.524,0.188,3.903,0.178,4.02,0.017,,2451012.8921
4675576135153914368,4675576135153914368,04333397-6249251,0.06674111,8,32486016,1,0,DDD,32480422,04333397-6249251,68.391579,-62.823666,0.29,0.29,0,4.418,0.296,3.745,0.246,3.777,0.238,,2451114.8307
4759263813434301824,4759263813434301824,05345745-6110337,0.15091485,8,40317280,1,0,ECA,40311537,05345745-6110337,83.739393,-61.176033,0.09,0.09,90,4.916,0.037,4.475,0.21,4.292,0.023,,2451157.7039
4921421918602162688,4921421918602162688,00353334-5449188,0.17074275,8,71605527,1,0,DDD,71599222,00353334-5449188,8.888948,-54.821911,0.29,0.29,0,4.201,0.318,3.604,0.242,3.585,0.25,,2451471.6194
4972969119657226368,4972969119657226368,00222126-5059328,0.20429581,8,89390233,1,0,EEE,89383256,00222126-5059328,5.58859,-50.992462,0.11,0.11,90,4.96,0.037,4.397,0.076,4.151,0.036,,2451458.6088
5062172841616745856,5062172841616745856,02365859-3434404,0.21359606,8,159092718,1,0,DDA,159081546,02365859-3434404,39.244137,-34.577915,0.11,0.11,90,4.596,0.238,4.185,0.234,4.246,0.018,,2451147.6045
5224124307320401024,5224124307320401024,08551682-6715555,0.11345366,8,17079480,1,0,AAA,17074803,08551682-6715555,133.820093,-67.265442,0.08,0.06,0,5.946,0.02,5.409,0.038,5.253,0.026,,2451547.6995
6357337753190592000,6357337753190592000,22115498-7606576,0.058049206,8,3923729,1,0,DDD,3921145,22115498-7606576,332.979101,-76.116005,0.31,0.29,0,4.669,0.224,3.911,0.248,3.877,0.286,,2451518.5433
6386468454774591744,6386468454774591744,23380793-7054121,0.06791775,8,9573190,1,0,AAA,9569234,23380793-7054121,354.53308,-70.903366,0.07,0.06,0,5.752,0.02,5.297,0.053,5.127,0.027,,2451825.6488
