starid,source_id,clean_apassdr9_oid,original_ext_source_id,angular_distance,number_of_neighbours,number_of_mates,xm_flag,recno,raj2000,dej2000,e_ra,e_dec,field,nobs,mobs,b_v,e_b_v,vmag,e_vmag,u_e_vmag,bmag,e_bmag,u_e_bmag,g_mag,e_g_mag,u_e_g_mag,r_mag,e_r_mag,u_e_r_mag,i_mag,e_i_mag,u_e_i_mag
2076525844775760384,2076525844775760384,48049692,14155470,0.33235483388352616,1,0,8,14155470,294.286907,40.213733,0.099,0.699,20121953,2,7,0.981,0.0,7.97,0.0,1,8.95,0.0,1,8.418,0.0,1,7.842,0.0,1,7.661,0.0,1
2086625752425381632,2086625752425381632,50875214,14328753,0.5547774689075474,1,0,8,14328753,297.02795,48.208635,0.807,0.29,20122236,7,31,0.691,0.181,12.639,0.062,0,13.33,0.171,0,12.924,0.139,0,12.442,0.086,0,12.274,0.114,0
2106705269988803072,2106705269988803072,49510263,14495471,0.1126278985630543,1,0,8,14495471,284.48247,44.397934,0.405,0.186,20122050,3,28,0.832,0.037,12.481,0.025,0,13.313,0.027,0,12.883,0.059,0,12.303,0.056,0,12.13,0.073,0
2125795166969907968,2125795166969907968,48918092,14635342,0.10247040921979125,1,0,8,14635342,291.497208,42.728521,0.283,0.306,20122051,5,24,0.558,0.04,10.869,0.021,0,11.427,0.034,0,11.042,0.028,0,10.715,0.057,0,10.618,0.023,0
4675576135153914368,4675576135153914368,4175693,36360977,0.47654223135292423,1,0,8,36360977,68.390347,-62.823806,0.608,0.395,20132565,2,7,0.696,0.0,6.14,0.0,1,6.836,0.0,1,6.904,0.0,1,5.935,0.0,1,5.171,0.0,1
4921421918602162688,4921421918602162688,7614642,37277135,0.4871079150113635,1,0,8,37277135,8.88881,-54.822034,0.577,0.301,20132336,3,9,0.636,0.0,6.376,0.0,1,7.012,0.0,1,7.104,0.0,1,6.103,0.0,1,5.433,0.0,1
4972969119657226368,4972969119657226368,9412014,37403875,0.5404860844618402,1,0,8,37403875,5.588807,-50.992331,0.952,0.239,20132252,2,8,0.927,0.0,6.81,0.0,1,7.738,0.0,1,,,,,,,6.179,0.0,1
5224124307320401024,5224124307320401024,2701735,38269704,0.38884604776931997,1,0,8,38269704,133.820565,-67.265405,0.157,0.101,20162689,2,5,,,,,,,,,,,,,,,,,
6357337753190592000,6357337753190592000,743734,57151277,1.1050514654540813,1,0,8,57151277,332.976997,-76.116158,0.777,0.143,20162832,2,4,,,,,,,,,,,,,,,,,
6386468454774591744,6386468454774591744,1678736,57299060,0.33944675808090746,1,0,8,57299060,354.531948,-70.90328,0.618,0.068,20132764,2,10,,,,,,,,,,,,,,,,,
