starid,source_id,original_ext_source_id,angular_distance,number_of_neighbours,xm_flag,hip,ic,ra,dec,ra_rad,de_rad,plx,pm_ra,pm_de,e_ra_rad,e_de_rad,e_plx,e_pm_ra,e_pm_de,f1,f2,nc,ntr,u3,u4,u5,u6,u7,u8,u9,sn,so,var,u1,u2,u10,u11,u12,u13,u14,u15,hp_mag,b_v,v_i,e_hp_mag,e_b_v,s_hp,va
2329865040473724160,2329865040473724160,114842,0.0016847844,1,8,114842,0,348.93595610920215,-29.84749479817304,6.0900813127,-0.5209370577,9.91,145.65,-23.95,0.56,0.47,0.71,0.65,0.62,0,3.94,1,83,1.07,0.04,0.69,1.05,1.13,-0.14,-0.02,5,0,0.0,1.17,-1.07,1.11,-0.58,0.14,-0.65,-1.02,1.0,6.6893,1.064,1.1,0.0013,0.014,0.008,0
4675576135153914368,4675576135153914368,21253,0.0033312726,1,8,21253,0,68.39208211493829,-62.82363054690625,1.1936670152,-1.0964792011,22.15,-117.19,-19.02,0.18,0.23,0.21,0.17,0.27,0,-0.64,1,143,1.12,-0.37,0.45,1.01,3.16,-1.83,0.78,5,0,0.0,1.16,-1.15,1.06,-1.99,1.77,-0.26,-1.26,1.0,5.9522,1.028,0.98,0.0006,0.002,0.006,0
4759263813434301824,4759263813434301824,26190,0.0014874412,1,8,26190,0,83.73933999730777,-61.175983137849165,1.4615271964,-1.0677223289,10.49,-7.04,-27.45,0.25,0.26,0.26,0.27,0.34,0,0.12,1,105,1.01,-0.31,0.31,1.0,0.36,0.35,0.03,5,0,0.0,1.03,0.66,1.02,0.39,0.31,0.16,0.51,1.0,6.4678,0.845,0.88,0.0013,0.003,0.01,0
4921421918602162688,4921421918602162688,2789,0.0005653076,1,8,2789,0,8.88881602842144,-54.821748240721554,0.1551391063,-0.9568200085,14.13,22.8,-50.85,0.25,0.27,0.39,0.36,0.32,0,1.03,1,152,1.03,0.03,0.36,1.01,-0.03,-0.53,-0.42,5,0,0.0,1.02,0.48,1.0,-0.49,-0.3,0.18,0.19,1.0,6.2062,1.001,1.07,0.0006,0.002,0.007,0
4972969119657226368,4972969119657226368,1766,0.0019345691,1,8,1766,0,5.588407590633615,-50.99260269562545,0.0975361124,-0.8899888112,10.94,70.44,48.0,0.3,0.36,0.56,0.44,0.47,0,0.65,1,231,1.03,-0.24,0.36,1.01,-0.72,-0.12,0.43,5,0,0.0,1.15,1.4,1.1,-0.35,0.2,0.16,1.03,1.0,6.848,1.102,1.06,0.001,0.003,0.011,0
5062172841616745856,5062172841616745856,12186,0.0018197289,1,8,12186,0,39.24425349070041,-34.57734540977949,0.6849414359,-0.603488524,38.79,-18.35,-259.35,0.19,0.26,0.4,0.22,0.27,1,1.85,1,207,1.0,0.23,0.08,1.02,0.74,0.08,-0.38,5,0,0.0,1.04,0.91,1.0,0.17,0.32,0.69,0.38,1.0,5.9086,0.653,0.7,0.0005,0.005,0.007,0
5224124307320401024,5224124307320401024,43803,0.0015429525,1,8,43803,0,133.8199117691513,-67.26553469830999,2.3355980651,-1.1740050536,6.45,24.97,25.88,0.41,0.43,0.46,0.49,0.44,0,-1.26,1,120,1.01,-0.39,-0.1,1.01,-0.01,0.02,-0.04,5,0,0.0,1.02,-0.01,1.01,0.02,0.34,-0.35,0.23,1.0,7.9998,1.088,1.05,0.0013,0.013,0.013,0
6357337753190592000,6357337753190592000,109584,0.0017009992,1,8,109584,0,332.9797035235207,-76.11592441838683,5.8115921688,-1.3284734943,11.34,-59.17,-40.72,0.24,0.24,0.31,0.3,0.26,0,-0.24,1,120,1.07,0.14,0.35,1.01,0.13,0.6,0.51,5,0,0.0,1.02,0.77,1.03,0.66,1.38,0.28,0.89,1.0,6.2974,1.001,0.98,0.0006,0.002,0.007,0
6386468454774591744,6386468454774591744,116630,0.0010951423,1,8,116630,0,354.53373457354417,-70.90341826826956,6.1877809777,-1.2374980997,11.98,-84.88,25.16,0.47,0.47,0.59,0.6,0.58,0,2.02,1,140,1.04,0.1,0.34,1.0,-0.62,-0.17,0.08,5,0,0.0,1.06,0.14,1.0,-0.2,-0.39,-0.1,0.06,1.0,7.6351,1.03,1.01,0.0011,0.02,0.012,0
