starID,modelteff,modellogg,teff,tefferr,logg,loggerr,feh,feherr,d,derr,Av,Averr,ScaleF,ScaleFerr,Fbol,Fbolerr,angRad,angRaderr,lumi,lumierr,lumibol,lumibolerr,radius,radiuserr,angRadbol,angRadbolerr,radiusbol,radiusbolerr,Redchi
2051837651199491968,5555.000,4.000,5543.000,79.000,4.081,0.014,0.440,0.100,668.83600,113.53930,0.17931,0.01897,-20.24470,0.00559,3.07249e-10,3.95820e-12,0.01556,0.00010,0.62956,0.14962,0.63067,0.14755,2.23843,0.38026,0.01563,0.00046,2.24772,0.38718,0.81488
2053106620753316352,5065.000,3.500,5055.000,75.000,3.443,0.014,-0.070,0.100,786.65730,5.92930,0.18473,0.02329,-19.98120,0.00649,3.89466e-10,5.82178e-12,0.02108,0.00016,0.87390,0.02737,0.87458,0.00922,3.56582,0.03785,0.02115,0.00065,3.57887,0.11279,1.02759
2076525844775760384,5850.000,3.750,5844.000,75.000,3.813,0.065,0.210,0.100,105.90070,2.69290,0.04278,0.02437,-18.57360,0.00819,1.77178e-08,3.34090e-10,0.10657,0.00100,0.79168,0.03243,0.79075,0.02356,2.42702,0.06582,0.10676,0.00292,2.43137,0.09079,1.63822
2086625752425381632,5850.000,4.250,5847.000,69.500,4.191,0.019,0.270,0.100,515.66610,2.60900,0.10023,0.02107,-20.40410,0.00583,2.61776e-10,3.51256e-12,0.01295,0.00009,0.33701,0.02190,0.33521,0.00730,1.43646,0.01207,0.01296,0.00032,1.43759,0.03625,0.90590
2106705269988803072,5705.000,4.250,5699.000,74.000,4.162,0.032,0.300,0.100,450.61260,2.17490,0.10497,0.02061,-20.29340,0.00581,3.05591e-10,4.08933e-12,0.01471,0.00010,0.28604,0.02367,0.28529,0.00717,1.42586,0.01176,0.01474,0.00040,1.42871,0.03893,0.87628
2125795166969907968,5905.000,3.750,5896.000,75.000,3.757,0.065,-0.070,0.100,424.52360,1.58840,0.08840,0.02704,-19.73140,0.00777,1.27891e-09,2.28932e-11,0.02810,0.00025,0.85528,0.02365,0.85518,0.00843,2.56552,0.02489,0.02818,0.00076,2.57262,0.07005,1.73105
2135179533070399232,6030.000,4.250,6004.000,102.000,4.303,0.016,-0.380,0.100,336.77940,1.06500,-0.00315,0.04376,-20.20380,0.01324,4.68878e-10,1.42946e-11,0.01631,0.00025,0.21330,0.03246,0.21829,0.01352,1.18146,0.01839,0.01645,0.00061,1.19169,0.04454,2.57125
2329865040473724160,4630.000,2.750,4634.000,80.000,2.665,0.054,0.040,0.080,104.77130,0.24320,0.02091,0.02144,-17.45170,0.00825,9.20195e-08,1.74845e-09,0.38777,0.00368,1.50125,0.03117,1.49691,0.00849,8.73708,0.08545,0.38694,0.01386,8.71843,0.31287,0.75835
4675576135153914368,4800.000,3.250,4828.000,80.000,3.181,0.021,0.110,0.080,44.03420,0.07050,0.22287,0.03997,-17.17340,0.01602,2.01855e-07,7.44615e-09,0.53423,0.00985,1.09789,0.03297,1.08516,0.01608,5.05899,0.09366,0.52796,0.02002,4.99970,0.18979,1.03001
4759263813434301824,5115.000,3.250,5132.000,80.000,3.135,0.124,-0.170,0.080,100.03770,0.14940,0.02107,0.02933,-17.61810,0.01110,9.34308e-08,2.38750e-09,0.32017,0.00409,1.47202,0.02929,1.46336,0.01117,6.88791,0.08860,0.31790,0.01071,6.83917,0.23066,1.32004
4921421918602162688,4695.000,2.750,4700.000,80.000,2.762,0.039,-0.410,0.080,72.08660,0.09480,0.12008,0.02229,-17.25360,0.00892,1.53596e-07,3.15328e-09,0.48711,0.00500,1.39914,0.03091,1.39463,0.00899,7.55142,0.07815,0.48597,0.01728,7.53385,0.26806,0.33575
4972969119657226368,4615.000,2.750,4630.000,80.000,2.768,0.027,0.030,0.080,90.01890,0.17330,0.08718,0.04088,-17.48080,0.01609,8.49435e-08,3.14747e-09,0.37499,0.00695,1.33883,0.03410,1.33034,0.01618,7.25952,0.13522,0.37241,0.01460,7.20949,0.28303,1.81235
5062172841616745856,5840.000,4.250,5841.000,17.000,4.315,0.100,0.130,0.060,25.44400,0.01960,0.08276,0.00931,-17.67060,0.00356,1.40747e-07,1.15310e-09,0.30139,0.00123,0.45516,0.00622,0.45215,0.00362,1.64915,0.00687,0.30121,0.00214,1.64816,0.01180,0.13418
5224124307320401024,4660.000,2.750,4664.000,53.000,2.710,0.040,-0.190,0.060,183.06070,0.66330,0.15285,0.02935,-17.93770,0.01083,3.08390e-08,7.69088e-10,0.22160,0.00276,1.51117,0.02274,1.50683,0.01128,8.72407,0.11328,0.22113,0.00573,8.70555,0.22787,1.42060
6357337753190592000,4805.000,2.750,4824.000,80.000,2.761,0.058,-0.100,0.080,89.48320,0.13850,0.13416,0.01849,-17.34790,0.00740,1.35619e-07,2.30995e-09,0.43699,0.00372,1.53785,0.02977,1.52834,0.00752,8.40941,0.07279,0.43348,0.01484,8.34171,0.28594,0.20089
6386468454774591744,4765.000,3.250,4806.000,100.000,3.310,0.150,0.050,0.100,91.60670,0.13150,0.06972,0.04236,-17.89300,0.01571,3.74068e-08,1.35279e-09,0.23331,0.00422,1.00663,0.03943,0.98935,0.01576,4.59622,0.08337,0.22936,0.01041,4.51859,0.20513,2.95215
