starID,modelteff,modellogg,modelfeh,teff,tefferr,logg,loggerr,feh,feherr,d,derr,Av,Averr,ScaleF,ScaleFerr,Fbol,Fbolerr,angRad,angRaderr,lumi,lumierr,radius,radiuserr,ModelIndex,Redchi,RelDiff,npoint,JumpBy
2051837651199491968,5500.000,4.000,0.500,5543.000,79.000,4.081,0.014,0.440,0.100,668.83600,113.53930,0.13230,0.02009,-20.24152,0.00592,2.97643e-10,4.05976e-12,0.01562,0.00011,0.61688,0.14757,2.24664,0.38169,13233,0.91345,0.00104,17,DiffMet
2053106620753316352,5000.000,3.500,0.000,5055.000,75.000,3.443,0.014,-0.070,0.100,786.65730,5.92930,0.11566,0.02383,-19.97868,0.00664,3.72383e-10,5.69457e-12,0.02114,0.00016,0.85510,0.00933,3.57620,0.03840,44106,1.07545,0.00054,8,DiffMet
2076525844775760384,5750.000,4.000,0.250,5844.000,75.000,3.813,0.065,0.210,0.100,105.90070,2.69290,-0.03857,0.02536,-18.56912,0.00852,1.67233e-08,3.28200e-10,0.10712,0.00105,0.76566,0.02367,2.43956,0.06649,13750,1.77461,0.00095,13,DiffMet
2086625752425381632,5750.000,4.000,0.250,5847.000,69.500,4.191,0.019,0.270,0.100,515.66610,2.60900,0.03080,0.02214,-20.39719,0.00612,2.48460e-10,3.50234e-12,0.01306,0.00009,0.31253,0.00754,1.44793,0.01256,13750,0.99977,0.00092,16,DiffMet
2106705269988803072,5750.000,4.000,0.250,5699.000,74.000,4.162,0.032,0.300,0.100,450.61260,2.17490,0.14272,0.02038,-20.29569,0.00574,3.13872e-10,4.15186e-12,0.01468,0.00010,0.29690,0.00711,1.42210,0.01164,13750,0.85624,0.00074,12,DiffMet
2125795166969907968,6000.000,4.000,0.000,5896.000,75.000,3.757,0.065,-0.070,0.100,424.52360,1.58840,0.15232,0.02611,-19.73788,0.00751,1.34423e-09,2.32411e-11,0.02789,0.00024,0.87682,0.00818,2.54647,0.02399,14240,1.61488,0.00099,14,DiffMet
2135179533070399232,6000.000,4.500,-0.500,6004.000,102.000,4.303,0.016,-0.380,0.100,336.77940,1.06500,-0.02654,0.04463,-20.20320,0.01350,4.60400e-10,1.43140e-11,0.01632,0.00025,0.21037,0.01378,1.18228,0.01876,14372,2.67404,0.00095,7,DiffMet
2329865040473724160,4750.000,2.500,0.000,4634.000,80.000,2.665,0.054,0.040,0.080,104.77130,0.24320,0.16698,0.01611,-17.46385,0.00620,9.92707e-08,1.41698e-09,0.38238,0.00273,1.52985,0.00652,8.61567,0.06466,41975,0.42797,0.00034,8,DiffMet
4675576135153914368,4750.000,3.000,0.000,4828.000,80.000,3.181,0.021,0.110,0.080,44.03420,0.07050,0.11506,0.02442,-17.18760,0.00979,1.87511e-07,4.22600e-09,0.52556,0.00592,1.05315,0.00989,4.97697,0.05665,42083,0.38447,0.00050,8,DiffMet
4759263813434301824,5250.000,3.000,-0.250,5132.000,80.000,3.135,0.124,-0.170,0.080,100.03770,0.14940,0.12983,0.02734,-17.63670,0.01035,9.94775e-08,2.37007e-09,0.31338,0.00373,1.49059,0.01043,6.74199,0.08094,44798,1.14750,0.00076,8,DiffMet
4921421918602162688,4750.000,3.000,-0.500,4700.000,80.000,2.762,0.039,-0.410,0.080,72.08660,0.09480,0.17241,0.02270,-17.26387,0.00908,1.57299e-07,3.28888e-09,0.48138,0.00503,1.40498,0.00915,7.46261,0.07863,42127,0.34825,0.00113,12,DiffMet
4972969119657226368,4750.000,3.000,0.000,4630.000,80.000,2.768,0.027,0.030,0.080,90.01890,0.17330,0.25746,0.04362,-17.49249,0.01717,9.29253e-08,3.67337e-09,0.36998,0.00731,1.36934,0.01725,7.16245,0.14224,42083,2.06273,0.00148,11,DiffMet
5062172841616745856,5750.000,4.500,0.250,5841.000,17.000,4.315,0.100,0.130,0.060,25.44400,0.01960,0.00514,0.01082,-17.66859,0.00413,1.33001e-07,1.26625e-09,0.30209,0.00144,0.42757,0.00419,1.65297,0.00797,13850,0.18120,0.00044,9,DiffMet
5224124307320401024,4750.000,2.500,-0.250,4664.000,53.000,2.710,0.040,-0.190,0.060,183.06070,0.66330,0.24389,0.02232,-17.95295,0.00824,3.21893e-08,6.10397e-10,0.21775,0.00206,1.52544,0.00882,8.57223,0.08701,42017,0.82134,0.00055,9,DiffMet
6357337753190592000,4750.000,3.000,0.000,4824.000,80.000,2.761,0.058,-0.100,0.080,89.48320,0.13850,0.05368,0.01259,-17.34925,0.00504,1.29233e-07,1.49855e-09,0.43631,0.00253,1.50740,0.00521,8.39633,0.05039,42083,0.09311,0.00017,6,DiffMet
6386468454774591744,4750.000,3.500,0.000,4806.000,100.000,3.310,0.150,0.050,0.100,91.60670,0.13150,0.02677,0.03632,-17.89856,0.01347,3.64775e-08,1.13119e-09,0.23182,0.00359,0.97842,0.01353,4.56690,0.07111,42191,2.17067,0.00098,9,DiffMet
